ticker,name,category,expense_ratio_pct,note
VOO,Vanguard S&P 500 ETF,benchmark,0.03,Benchmark only - never a candidate
QQQ,Invesco QQQ Trust,large_growth,0.2,Nasdaq-100
QQQM,Invesco NASDAQ 100 ETF,large_growth,0.15,Nasdaq-100 lower fee (near-duplicate of QQQ)
VUG,Vanguard Growth ETF,large_growth,0.04,CRSP large growth
IWF,iShares Russell 1000 Growth ETF,large_growth,0.19,Russell 1000 growth
SCHG,Schwab US Large-Cap Growth ETF,large_growth,0.04,Dow Jones large growth
SPYG,SPDR Portfolio S&P 500 Growth ETF,large_growth,0.04,S&P 500 growth
MGK,Vanguard Mega Cap Growth ETF,large_growth,0.07,Mega-cap growth
IWY,iShares Russell Top 200 Growth ETF,large_growth,0.2,Top 200 growth
RPG,Invesco S&P 500 Pure Growth ETF,large_growth,0.35,Pure growth tilt
XLG,Invesco S&P 500 Top 50 ETF,large_growth,0.2,Mega-cap top 50
MTUM,iShares MSCI USA Momentum Factor ETF,factor,0.15,Momentum factor
SPMO,Invesco S&P 500 Momentum ETF,factor,0.13,Momentum factor
COWZ,Pacer US Cash Cows 100 ETF,factor,0.49,Free-cash-flow yield (value-ish - likely uncorrelated with growth)
XMMO,Invesco S&P MidCap Momentum ETF,mid_growth,0.34,Mid-cap momentum
IWP,iShares Russell Mid-Cap Growth ETF,mid_growth,0.23,Mid-cap growth
VOT,Vanguard Mid-Cap Growth ETF,mid_growth,0.07,Mid-cap growth
IJK,iShares S&P Mid-Cap 400 Growth ETF,mid_growth,0.17,Mid-cap growth
VBK,Vanguard Small-Cap Growth ETF,small_growth,0.07,Small-cap growth
IWO,iShares Russell 2000 Growth ETF,small_growth,0.24,Small-cap growth
IJT,iShares S&P SmallCap 600 Growth ETF,small_growth,0.18,Small-cap growth
XLK,Technology Select Sector SPDR,sector_tech,0.08,S&P 500 tech
VGT,Vanguard Information Technology ETF,sector_tech,0.09,Broad tech
IYW,iShares US Technology ETF,sector_tech,0.39,Broad tech
FTEC,Fidelity MSCI Information Technology ETF,sector_tech,0.08,Broad tech
SMH,VanEck Semiconductor ETF,sector_semis,0.35,Semiconductors
SOXX,iShares Semiconductor ETF,sector_semis,0.35,Semiconductors
XSD,SPDR S&P Semiconductor ETF,sector_semis,0.35,Equal-weight semis
IGV,iShares Expanded Tech-Software ETF,sector_software,0.41,Software
SKYY,First Trust Cloud Computing ETF,sector_software,0.6,Cloud
CIBR,First Trust NASDAQ Cybersecurity ETF,sector_software,0.59,Cybersecurity
FINX,Global X FinTech ETF,sector_software,0.68,Fintech
XLY,Consumer Discretionary Select Sector SPDR,sector_consumer,0.08,Consumer discretionary
VCR,Vanguard Consumer Discretionary ETF,sector_consumer,0.09,Consumer discretionary
XLC,Communication Services Select Sector SPDR,sector_comm,0.08,Communication services
XLF,Financial Select Sector SPDR,sector_financial,0.08,Financials
XLI,Industrial Select Sector SPDR,sector_industrial,0.08,Industrials
XLV,Health Care Select Sector SPDR,sector_health,0.08,Health care (defensive - likely own group)
XBI,SPDR S&P Biotech ETF,sector_biotech,0.35,Equal-weight biotech
IBB,iShares Biotechnology ETF,sector_biotech,0.45,Cap-weight biotech
ARKG,ARK Genomic Revolution ETF,sector_biotech,0.75,Genomics (active)
XLE,Energy Select Sector SPDR,sector_energy,0.08,Energy (likely uncorrelated with growth)
ITA,iShares US Aerospace & Defense ETF,sector_defense,0.4,Aerospace & defense
XAR,SPDR S&P Aerospace & Defense ETF,sector_defense,0.35,Equal-weight A&D
PPA,Invesco Aerospace & Defense ETF,sector_defense,0.57,Aerospace & defense
ARKK,ARK Innovation ETF,thematic,0.75,Disruptive innovation (active)
ARKW,ARK Next Generation Internet ETF,thematic,0.82,Internet/crypto-adjacent (active)
BOTZ,Global X Robotics & AI ETF,thematic,0.68,Robotics/AI
ROBO,ROBO Global Robotics & Automation ETF,thematic,0.95,Robotics/automation
AIQ,Global X Artificial Intelligence & Technology ETF,thematic,0.68,AI
URA,Global X Uranium ETF,thematic_energy,0.69,Uranium
NLR,VanEck Uranium and Nuclear ETF,thematic_energy,0.61,Nuclear
LIT,Global X Lithium & Battery Tech ETF,thematic_energy,0.75,Lithium/batteries
TAN,Invesco Solar ETF,thematic_energy,0.67,Solar
ICLN,iShares Global Clean Energy ETF,thematic_energy,0.39,Clean energy
EFG,iShares MSCI EAFE Growth ETF,international,0.36,Developed ex-US growth
IEMG,iShares Core MSCI Emerging Markets ETF,international,0.09,Emerging markets
KWEB,KraneShares CSI China Internet ETF,international,0.7,China internet
INDA,iShares MSCI India ETF,international,0.62,India
EWJ,iShares MSCI Japan ETF,international,0.5,Japan
